Movie Name,Movie Genre,Movie Rating,Movie Votes,Movie Revenue,Movie Year Cleaned,Movie Budget Cleaned,Movie Languages,
Maximum Truth,Comedy,4.6,339, ,2023, ,English,
Cryptid,"Horror, Thriller",5.2,1743, ,2022,305,English,
God's Country,Thriller,5.6,3722,"493,679",2022, ,English,
Sita Ramam,"Action, Drama, Mystery",8.6,63400,"2,208,029",2022,36000,Telugu,
Mercy,Action,4.8,584, ,2023,"5,000,000",English,
Onyx the Fortuitous and the Talisman of Souls,"Comedy, Horror",6.5,208, ,2023, ,English,
Juni the Last Prayer,Drama,9,1175, ,2022,120000,Hindi,
Along for the Ride,"Drama, Romance",6.1,8570, ,2022, ,English,
El hombre del saco,"Adventure, Comedy, Horror",4.4,275,"158,93",2023, , ,
The Best Man,"Action, Thriller",3.8,897,"19,17",2023, ,English,
Righteous Thieves,"Action, Crime, Thriller",4.1,434, ,2023, ,English,
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,"Animation, Action, Fantasy",8.9,21962,"67,358",2021, ,Japanese,
Hell of a Summer,"Comedy, Horror",7,73, ,2023, ,English,
Midnight,"Crime, Thriller",6.4,6497,"47,036",2021, ,Korean,
Fatherhood,"Comedy, Drama",6.6,41296, ,2021, ,English,
When You Finish Saving the World,"Comedy, Drama",5.6,3531,"196,92",2022, ,English,
Because My Thoughts Are Struggling,"Drama, History, Thriller",7,85,"37,82",2023, ,Serbian,
Brazen,"Crime, Drama, Mystery",4.2,13369, ,2022, ,English,
Memoria,"Drama, Mystery, Sci-Fi",6.5,10453,"588,713",2021, ,"English, Spanish",
Meet Cute,"Comedy, Drama, Fantasy",5.7,10529, ,2022, ,English,
Every Breath You Take,"Drama, Mystery, Thriller",5.3,6627,"338,771",2021, ,English,
Slayers,"Comedy, Fantasy, Horror",3.2,1709,"40,12",2022, ,English,
Dragon Ball Super: Super Hero,"Animation, Action, Adventure",7.1,13359,"86,562,140",2022, ,Japanese,
Finding 'Ohana,"Action, Adventure, Comedy",6.1,11271, ,2021, ,English,
Shark Bait,"Horror, Thriller",4.4,4323,"1,824,152",2022,5250000,English,
Moloch,"Horror, Mystery",6,6067,"558,917",2022, ,"Dutch, English, Romanian",
Do Not Expect Too Much of the End of the World,Comedy,7.2,112, ,2023, ,Romanian,
Black Site,"Action, Thriller",4.4,3433,"77,51",2022,"15,000,000",English,
My Son,"Crime, Drama, Mystery",6,13862,"962,689",2021, ,"English, Gaelic",
Doraemon the Movie: Nobita's Sky Utopia,"Animation, Adventure, Comedy",6.9,777,"37,475,850",2023, ,Japanese,
Restore Point,"Crime, Drama, Sci-Fi",6.8,325,"527,159",2023, ,Czech,
Full River Red,"Comedy, Drama, History",6.5,2601,"363,868",2023,68500000,"Mandarin, Sign Languages",
The Lost Boys,Drama,7,477,"12,751",2023, ,French,
The Innocent,"Comedy, Crime, Romance",6.8,2977,"5,311,287",2022, ,"French, Spanish, English",
As Good as Dead,"Action, Crime",5.4,472,"20,559",2022, ,"English, Spanish",
The Independent,Thriller,5.7,1365, ,2022, ,English,
Shut In,Thriller,5.8,10359,"714,373",2022, ,English,
"Mother, May I?","Horror, Thriller",5.3,1653, ,2023, ,English,
Lonesome,Drama,6.6,722,7,2022, ,English,
Thiruchitrambalam,"Comedy, Drama, Musical",7.9,12606,"5,342,111",2022, ,Tamil,
Attachment,"Comedy, Horror, Romance",5.9,1201, ,2022, ,Danish,
Paradise Highway,"Drama, Thriller",5.7,5873,"222,607",2022,"6,000,000",English,
The White Tiger,"Crime, Drama",7.1,63964, ,2021, ,Hindi,
Wolf,"Drama, Mystery, Thriller",5.1,12335,"565,825",2021, ,English,
Carter,"Action, Thriller",5.1,9542, ,2022, ,Korean,
777 Charlie,"Adventure, Comedy, Drama",8.8,37036,"7,523,995",2022, ,Kannada,
The Breach,"Horror, Mystery",4.9,363, ,2022, ,English,
The Donor Party,Comedy,4.6,837, ,2023, ,English,
Nitram,"Crime, Drama, Thriller",7.1,9508,"418,828",2021, ,English,
Pushpa: The Rise - Part 1,"Action, Crime, Drama",7.6,83012,"7,592,374",2021, ,"Hindi, Telugu",
Baby Cat,Comedy,4.9,88, ,2023, , ,
Barbarians,"Crime, Horror, Thriller",4.7,2458,"13,564",2021, ,English,
Hillwalkers,"Horror, Thriller",4.3,421, ,2022,31500,English,
Gray Matter,"Drama, Sci-Fi, Thriller",4.9,935, ,2023, ,English,
The Infernal Machine,"Mystery, Thriller",5.4,3367,"37,002",2022, ,English,
I'm Your Man,"Comedy, Drama, Romance",7.1,11588,"1,090,661",2021, ,German,
Johnny & Clyde,"Action, Adventure, Crime",3.5,1587, ,2023, ,English,
War Sailor,"Drama, War",7.4,3476,"5,445,664",2022,9100000,"English, Norwegian, German",
Pamasahe,Drama,6,901, ,2022, ,Tagalog,
"Relax, I'm from the Future","Comedy, Sci-Fi",7.9,95, ,2023, ,English,
Unhuman,"Comedy, Horror, Thriller",4.4,2757, ,2022, ,English,
Castaways,"Adventure, Drama, Romance",4.3,248, ,2023, ,English,
What Comes Around,"Drama, Thriller",5.2,720,"5,935",2022, ,English,
Skyggen i mit øje,"Drama, History, War",7.3,15527, ,2021, ,Danish,
The Resort,Horror,3.1,3673,"208,639",2021, ,English,
Lust Stories 2,"Drama, Romance",6.5,50557, ,2023, ,Hindi,
A Real Job,"Comedy, Drama",6.8,356,"3,438,629",2023,7980000,French,
After Party,Comedy,7.1,82, ,2021, ,English,
9 Bullets,"Action, Crime, Thriller",4.1,2314,"193,908",2022,"3,000,000",English,
Space Sweepers,"Action, Adventure, Drama",6.5,27751,"24,571",2021, ,"Korean, English, Spanish, Danish, French, German, Russian, Chinese, Arabic, Filipino, Mandarin",
False Positive,"Horror, Mystery, Thriller",4.7,7007, ,2021, ,English,
The Roundup: No Way Out,"Action, Crime, Thriller",6.6,3112,"83,423,445",2023, ,Korean,
Brooklyn 45,"Drama, History, Horror",5.9,1571, ,2023, ,English,
An Action Hero,"Action, Comedy, Crime",7,31042,"202,678",2022,5400000,Hindi,
Section 8,"Action, Thriller",4.2,1474, ,2022,"5,000,000",English,
The Pass,"Drama, Thriller",4.9,536, ,2023, ,English,
Love Life,Drama,7.1,1022,"693,109",2022, ,"Japanese, Korean, Korean Sign Language",
Detective Knight: Independence,"Action, Crime, Thriller",3.4,1260,"36,171",2023,"2,000,000",English,
Brahmastra Part One: Shiva,"Action, Adventure, Fantasy",5.6,110000,"50,164,785",2022,49200000,"Hindi, English",
Delicious,"Comedy, Drama, History",7,4925,"8,371,523",2021,5250000,French,
Benediction,"Biography, Drama, History",6.7,3164,"847,418",2021, ,"English, French, German",
Bhagwan Bharose,"Comedy, Drama",7.7,193, ,2023, ,Hindi,
Captain Nova,"Adventure, Family, Sci-Fi",5.5,1945,"132,586",2021, ,Dutch,
Just the Two of Us,Drama,6.7,758,"5,017,924",2023,6121500,French,
Biosphere,"Comedy, Drama, Fantasy",5.5,1454,"60,149",2022, ,English,
Corrective Measures,"Action, Sci-Fi",4.4,3495,"34,489",2022, ,English,
Art of Love,"Romance, Thriller",4.1,335, ,2021, ,Spanish,
The Starling,"Comedy, Drama",6.4,14686, ,2021, ,English,
Alibi.com 2,Comedy,6.5,1560,"34,032,623",2023, ,French,
Manodrome,"Drama, Thriller",5.9,258, ,2023, ,English,
Old People,Horror,5.1,6160, ,2022,5.25,German,
We Need to Do Something,"Horror, Mystery",4.5,3508,"15,318",2021, ,English,
Make Me Believe,"Comedy, Romance",5.6,2285, ,2023, ,Turkish,
The Enforcer,"Action, Crime, Drama",5.3,4399,"1,264,605",2022, ,"English, Spanish",
Alien Planet,Sci-Fi,4.8,844, ,2023,66,English,
Madame Claude,"Biography, Crime, Drama",5.4,3854, ,2021, ,French,
Chup,"Crime, Drama, Mystery",7.6,24265,"1,154,366",2022, ,Hindi,
The Valet,"Comedy, Drama, Romance",6.7,15139, ,2022, ,English,
Music,"Drama, Musical",3.2,8698,"645,949",2021,"16,000,000","English, Mandarin",
Mrs. Chatterjee vs. Norway,"Biography, Drama",7.3,8840,"534,897",2023, ,"Hindi, English",
Upon Entry,Drama,7.4,278,"178,379",2022, ,"English, Spanish, Catalan",
Surrounded,"Drama, Western",5.7,670, ,2023, ,English,
Chang An,"Animation, History",7.6,532, ,2023, ,Mandarin,
Wedding Season,"Comedy, Romance",6.3,10502, ,2022, ,English,
To All the Boys: Always and Forever,"Comedy, Drama, Romance",6.3,31187, ,2021, ,English,
My Little Pony: A New Generation,"Animation, Adventure, Comedy",6.8,4319,"1,382,366",2021, ,English,
Monica,Drama,6.2,845,"182,156",2022, ,English,
The Power,"Drama, Fantasy, Horror",5.5,5453,"153,27",2021, ,English,
The Humans,Drama,6.1,9969,"47,029",2021, ,English,
Tiger Stripes,Horror,6.3,171, ,2023, ,Malay,
The Survivor,"Biography, Drama, History",6.7,5532,"219,077",2021, ,English,
Bad Behaviour,"Comedy, Drama",4.9,206,"1,797",2023, ,"French, English",
Passing,Drama,6.7,16021, ,2021, ,English,
Jilebi,"Horror, Thriller",7.8,1038, ,2023, ,Telugu,
Re/Member,"Drama, Horror, Mystery",5.1,3228,"8,166,175",2022, ,Japanese,
Terror on the Prairie,"Drama, Thriller, Western",5.2,6819,"13,115",2022,"75,000,000",English,
Noise,"Drama, Mystery, Thriller",3.5,3580, ,2023, ,Dutch,
MobKing,"Drama, Thriller",6.3,4398, ,2023, ,English,
Smugglers,"Action, Crime",6.6,323,"36,825,379",2023, ,Korean,
The Haunting at Saint Joseph's,"Horror, Thriller",2.6,144, ,2023,94500,English,
The Inspection,Drama,6.7,4132,"546,906",2022, ,English,
Big Shark,"Adventure, Mystery, Thriller",6.5,211, ,2023, ,English,
Puan,"Comedy, Drama",6.9,95, ,2023, ,Spanish,
Inside the Yellow Cocoon Shell,Drama,6.7,260,"271,725",2023, ,"Vietnamese, English",
The Cellar,"Horror, Mystery",5.3,7249,"1,649,074",2022, ,English,
Emergency Declaration,"Action, Drama, Thriller",6.8,8443,"21,400,327",2021, ,"Korean, English",
Caravaggio's Shadow,"Biography, Drama, History",6.4,857,"4,365,305",2022,12875064.3,"Italian, French, English, Latin",
Gold Brick,"Comedy, Drama",6.1,2234, ,2023, ,French,
How It Ends,"Comedy, Drama",5.3,4103,"16,104",2021, ,English,
One Day All This Will Be Yours,"Comedy, Drama, Music",6.1,661, ,2023, ,Swedish,
Soulcatcher,"Action, Adventure, Thriller",3.7,1220, ,2023, ,Polish,
Boon,"Action, Crime, Drama",5,1890, ,2022, ,English,
Zara Hatke Zara Bachke,"Comedy, Drama, Family",6.5,8627,"741,398",2023, ,Hindi,
Eismayer,"Drama, History, Romance",7,1261, ,2022, ,German,
Mother/Android,"Drama, Sci-Fi, Thriller",4.9,20609, ,2021, ,English,
The Virtuoso,"Action, Thriller",5,8838,"21,356",2021, ,English,
Devil's Peak,"Crime, Drama, Thriller",5.1,596, ,2023, , ,
A Taste of Hunger,"Drama, Romance",6.3,1651,"172,566",2021, ,Danish,
Adipurush,"Action, Adventure, Drama",3.4,130327,"1,077,952",2023, ,"Hindi, Telugu, Tamil, Malayalam, Kannada",
Line of Fire,Drama,7,316,"785,975",2023, ,Dutch,
Clean,"Action, Crime, Drama",5.6,10240,"318,877",2021, ,English,
What Josiah Saw,"Horror, Thriller",6.2,3718,"47,538",2021, , ,
Three Wishes for Cinderella,"Family, Fantasy",5.8,2083,"5,352,917",2021,3458000,Norwegian,
Hex,"Action, Adventure, Horror",3.4,486, ,2022, ,English,
Home Sweet Home Alone,"Comedy, Crime, Family",3.6,18980, ,2021,"15,000,000",English,
War Pony,Drama,7,1948,"252,064",2022, ,"English, Sioux",
Hellbender,Horror,5.8,6140,"67,474",2021, ,English,
Prom Pact,"Comedy, Family, Romance",6.4,2521, ,2023, ,English,
The Inventor,"Animation, Adventure, Comedy",6.2,222,"306,385",2023, ,English,
Mission Majnu,"Action, Drama, History",7.1,42936, ,2023, ,Hindi,
Seneca: On the Creation of Earthquakes,"Biography, Drama",5,428, ,2023, ,English,
"My Sailor, My Love",Drama,7,562,"171,463",2022, ,English,
Final Cut,"Comedy, Horror",6.4,3792,"2,078,101",2022, ,"French, Japanese",
L'immensità,Drama,6.4,2313,"3,027,560",2022, ,Italian,
Condor's Nest,"Action, Drama, Thriller",4.4,797,"1,59",2023, ,English,
Witch Hunt,"Fantasy, Horror, Thriller",4.8,1705,"56,415",2021, ,English,
Coming Home in the Dark,"Crime, Horror, Thriller",5.7,7125,"77,658",2021, ,English,
Black Friday,"Comedy, Horror",4.7,7009,"1,581",2021, ,English,
Squeaky Clean Mysteries: Hazardous Duty,"Drama, Mystery, Thriller",6.3,192, ,2022, ,English,
The Swimmer,"Drama, Sport",5.7,737, ,2021, ,Hebrew,
Love in Taipei,"Comedy, Romance",5.7,540, ,2023, ,English,
The House,Drama,5.7,428,"93,921",2022, ,"English, German, French",
Dangerous,"Action, Thriller",5.1,8099,"164,231",2021,"8,000,000",English,
Humanist Vampire Seeking Consenting Suicidal Person,"Comedy, Drama, Fantasy",7.7,84, ,2023,2920000,French,
Apollo 10½: A Space Age Childhood,"Animation, Adventure, Drama",7.2,11147, ,2022, ,English,
The Visitor,"Drama, Horror, Mystery",4.2,2586, ,2022, ,English,
Visions,Thriller,5.8,229,"1,270,363",2023, ,French,
Matriarch,Horror,4.6,2733, ,2022, ,English,
Target List,"Action, Adventure, Comedy",6.3,423, ,2023, ,English,
Rise of the Teenage Mutant Ninja Turtles: The Movie,"Animation, Action, Adventure",6.1,6503, ,2022, ,English,
Moonshot,"Comedy, Romance, Sci-Fi",5.6,6052, ,2022, ,English,
Kantara,"Action, Adventure, Drama",8.3,98467,"2,406,221",2022,"2,000,000",Kannada,
Monstrous,"Horror, Mystery, Thriller",4.7,4283,"243,525",2022, ,English,
Only the River Flows,"Crime, Drama, Mystery",7.3,654,"1,75",2023, ,Chinese,
The Takeover,"Action, Crime, Thriller",5.3,4800, ,2022,210000,"English, Dutch",
Fortress,"Action, Thriller",3.2,5122,"52,169",2021,"20,000,000","English, Spanish",
You Are Not My Mother,"Drama, Horror",5.8,5236,"98,275",2021, ,English,
All Your Faces,Drama,7.8,1238,"9,056,053",2023, ,French,
A House on the Bayou,"Horror, Mystery, Thriller",5.6,6200, ,2021, ,English,
Into the Deep,"Crime, Drama, Horror",4.6,1446,"135,677",2022, ,English,
Smoking Causes Coughing,"Comedy, Horror, Sci-Fi",6.5,3747,"1,192,205",2022,5775000,French,
Jakob's Wife,Horror,5.5,4037,"47,768",2021, ,English,
Risen,"Drama, Sci-Fi, Thriller",3.5,2663, ,2021, ,English,
Bad Trip,Comedy,6.5,26811, ,2021, ,English,
Mascarpone,"Comedy, Drama, Romance",6.8,2053, ,2021, ,Italian,
We Are Zombies,"Comedy, Horror",6.7,112, ,2023, , ,
The United States vs. Billie Holiday,"Biography, Drama, Music",6.3,14201,"1,312,432",2021, ,"English, Italian, German",
Akelli,"Drama, Thriller",8.2,5625,"1,724",2023, ,Hindi,
Robot Dreams,"Animation, Drama, Music",7.8,227,"1,805",2023, ,Spanish,
Don't Fuck in the Woods 2,Horror,3.7,452, ,2022, ,English,
The Ice Age Adventures of Buck Wild,"Animation, Adventure, Comedy",4.3,15647, ,2022,"63,000,000",English,
Crisis,"Drama, Thriller",6.2,12756,"1,099,426",2021, ,"French, English",
Kathal: A Jackfruit Mystery,"Comedy, Crime, Drama",6.7,7265, ,2023, ,Hindi,
Christmas with the Campbells,"Comedy, Romance",5.3,1070, ,2022, ,English,
Zero Fucks Given,Drama,6.4,3972,"1,008,088",2021, ,"English, French, Romanian",
IB 71,"Action, Thriller",7.2,9355,"26,33",2023, ,"Hindi, Telugu, Tamil",
7 Women and a Murder,"Comedy, Crime, Mystery",5.4,5474,"1,174,093",2021, ,Italian,
A Christmas Story Christmas,"Comedy, Family",6.7,16243, ,2022, ,English,
The Secret Kingdom,"Adventure, Family",5.1,1529,"293,19",2023, ,English,
At Midnight,"Comedy, Romance",5.6,1410, ,2023, ,Spanish,
Palitan,Drama,5.3,235, ,2021, ,Tagalog,
Peter Rabbit 2: The Runaway,"Adventure, Comedy, Crime",6.2,13772,"153,901,717",2021,"45,000,000","English, German",
Blade of the 47 Ronin,"Action, Drama, Fantasy",4.7,1645, ,2022, ,English,
Tyson's Run,Drama,6.1,594,"395,627",2022, ,English,
A Day to Die,"Action, Crime, Drama",3.5,4774,"98,616",2022, ,English,
I Am Rage,Action,5.3,912, ,2023, ,English,
All My Puny Sorrows,Drama,6.1,657, ,2021, ,English,
Canceled,"Horror, Mystery, Thriller",4.2,944, ,2023,"2,150,000",Swedish,
All My Friends Hate Me,"Comedy, Horror",6.3,5206,"210,057",2021, ,English,
Baby,"Drama, Romance",7.3,7936,"55,115",2023, ,Telugu,
Beautiful Beings,Drama,7.4,1990,"178,839",2022, ,Icelandic,
Seance,"Horror, Mystery, Thriller",5.2,4027,"269,372",2021, ,"English, Latin",
Doors,Sci-Fi,3.6,3198, ,2021, ,English,
Everybody Loves Jeanne,"Comedy, Drama, Romance",6.4,1322,"1,046,803",2022, ,"French, Portuguese, English",
Acid,"Drama, Fantasy",5.7,312,"1,653,697",2023, ,"French, English, Dutch",
November,"Crime, Drama, Thriller",6.8,4799,"18,128,799",2022,12600000,French,
Colors of Love,"Drama, Romance",5.6,2779, ,2021, ,English,
The Feeling That the Time for Doing Something Has Passed,Comedy,6.5,86, ,2023, ,English,
The Fence,"Comedy, Drama",6.5,586,"31,944",2022, ,English,
Everybody's Talking About Jamie,"Biography, Comedy, Drama",6.5,7441, ,2021, ,English,
"Batman: The Long Halloween, Part One","Animation, Action, Crime",7.2,18931, ,2021, ,English,
Tyler Perry's A Madea Homecoming,"Comedy, Drama, Romance",5.7,4625, ,2022, ,English,
Come Out Fighting,"Action, Adventure, Drama",4.2,1551, ,2022, ,English,
Bolan's Shoes,Drama,6.6,154,"61,811",2023, ,English,
Revoir Paris,Drama,6.8,2403,"3,649,537",2022, ,"French, Russian, English, Spanish",
Baby Ruby,"Drama, Horror, Thriller",4.8,1749,"16,991",2022, ,English,
The Almond and the Seahorse,Drama,5.5,377,"1,25",2022, ,English,
10 Days of a Bad Man,"Crime, Drama, Mystery",6.1,1811, ,2023, ,Turkish,
Disco Boy,Drama,6.5,722,"298,6",2023, ,"French, English, Ibo, Russian, Polish",
One Shot,"Action, Thriller",5.6,5673,"29,439",2021, ,"English, French",
Air Mata Di Ujung Sajadah,Drama,6.9,135, ,2023, ,Indonesian,
No Way Out,"Action, Crime, Thriller",3.8,422, ,2022, ,English,
Selfiee,"Action, Comedy, Drama",5.7,12860,"689,309",2023, ,Hindi,
I'll Be Watching,"Sci-Fi, Thriller",3.9,457,"4,249",2023, ,English,
Full Time,Drama,7.4,3778,"1,878,241",2021, ,French,
Jung_E,"Action, Adventure, Drama",5.5,9953, ,2023, ,Korean,
Sardar Udham,"Biography, Crime, Drama",8.4,45346, ,2021, ,Hindi,
Chernobyl: Abyss,"Drama, History",5.1,10150,"6,459,306",2021,6890000,Russian,
Titanic 666,"Horror, Thriller",3.3,2490,"214,456",2022, ,English,
Altered Perceptions,"Horror, Mystery, Sci-Fi",7.5,112, ,2023, ,English,
Great Freedom,Drama,7.5,6599,"218,511",2021, ,"German, English",
Montana Story,Drama,6.5,3053,"292,915",2021, ,English,
Allelujah,Drama,6,1149,"5,035,719",2022, ,English,
Puff Daddy,"Drama, Thriller",3.5,110, ,2023, ,Bengali,
The Souvenir: Part II,"Drama, Romance",7.2,3892,"380,778",2021, ,"English, French",
Slumber Party Massacre,Horror,5.1,2984, ,2021, ,English,
88,"Drama, Mystery, Thriller",5,210, ,2022, ,English,
Dream,"Comedy, Drama, Sport",6.5,2450,"8,317,251",2023, ,"Spanish, Korean",
The Good Boss,"Comedy, Drama",7.1,12286,"7,335,603",2021, ,"Spanish, Arabic, Ukrainian",
Hitmen,Action,5,1504, ,2023, ,English,
Ransomed,"Action, Drama, Thriller",6.6,280,"8,101,634",2023, ,"Korean, Arabic, English",
Satan's Slaves 2: Communion,"Drama, Horror, Mystery",6.8,3091,"992,483",2022,900,Indonesian,
The Line,Drama,6.3,161, ,2023, ,English,
Eureka,Drama,6.3,77, ,2023, ,English,
Apex,"Action, Sci-Fi, Thriller",3,6000,"11,984",2021, ,English,
Mami Wata,"Drama, Fantasy, Thriller",7.1,83, ,2023, ,English,
Ride or Die,"Crime, Drama, Romance",5.6,2354, ,2021, ,Japanese,
The Universal Theory,Thriller,6.3,126, ,2023,440247.15,"German, French, Italian, Swiss German, English",
The House Next Door: Meet the Blacks 2,"Action, Comedy, Horror",4,2053,"2,893,660",2021, ,English,
Darlings,"Comedy, Drama, Thriller",6.6,20445, ,2022,2976000,Hindi,
Metronom,Drama,6.7,1195,"139,738",2022, ,Romanian,
The Advent Calendar,"Horror, Thriller",6.3,5238,"456,555",2021, ,"French, German",
Megalodon: The Frenzy,"Action, Adventure, Horror",2.3,161, ,2023, ,English,
Older Gods,"Drama, Horror",5.1,1419, ,2023,500,English,
Faraaz,"Action, Thriller",5,1756,"1,896",2022, ,"Hindi, English",
Captive,Horror,4,273, ,2023, , ,
The Phantom of the Open,"Comedy, Drama, Sport",7,6627,"4,024,999",2021, ,English,
The Takedown,"Action, Comedy, Crime",5.7,8269, ,2022,17850000,French,
The Vigilante,Thriller,5.4,245, ,2023, , ,
The Point Men,"Action, Drama, Thriller",6,1211,"13,433,834",2023, ,Korean,
Disquiet,Thriller,3.8,704, ,2023, ,English,
Gigi & Nate,"Drama, Family",6.7,1295,"2,280,814",2022, ,English,
On the Count of Three,"Comedy, Crime, Drama",7,7888,"62,131",2021, ,English,
Twist,"Action, Drama, Thriller",4.2,2969,"509,904",2021, ,English,
The Girl Who Believes in Miracles,"Drama, Family",5.7,1458,"3,238,623",2021, ,English,
Nosso Sonho,"Biography, Comedy, Drama",7.5,129, ,2023, ,Portuguese,
Last Survivors,"Sci-Fi, Thriller",4.9,2636, ,2021, ,English,
Cats in the Museum,"Animation, Adventure, Comedy",4.7,264,"7,200,169",2023,2409000,"Russian, English",
The Ghost Within,Horror,3.9,229,"92,371",2023, ,English,
Epic Tails,"Animation, Adventure, Comedy",5.9,552,"13,394,686",2022, ,French,
A Hero,Drama,7.5,28198,"2,916,932",2021, ,Persian,
High Heat,"Action, Comedy, Crime",4.8,2296,"6,257",2022, ,English,
Rise of the Footsoldier: Origins,"Action, Crime, Drama",5.8,3400,"390,909",2021, ,English,
Breaking Point,Sport,5.3,87, ,2023, ,English,
Slum Dog Husband,"Comedy, Drama",7.5,6063, ,2023, ,Telugu,
Hot Seat,"Action, Thriller",4.3,3113,"68,798",2022, ,English,
Red Sandal Wood,"Action, Thriller",9.1,1049, ,2023, ,Tamil,
Kill Shot,Action,5.3,1224,975,2023, ,English,
The Forger,"Biography, Drama",6.2,883,"211,181",2022, ,German,
Night at the Museum: Kahmunrah Rises Again,"Animation, Adventure, Comedy",5,2312, ,2022, ,English,
I Am All Girls,"Crime, Drama, Mystery",6,6976, ,2021, ,English,
As They Made Us,Drama,5.8,1458, ,2022, ,English,
Heart of Champions,"Drama, Sport",5.9,2008,37,2021, ,English,
Legion of Super-Heroes,"Animation, Action, Sci-Fi",5.8,3745, ,2023, ,English,
The Deal,"Drama, Sci-Fi",4.5,382, ,2022, ,English,
Nabil El Gamil Dr. Tagmeel,Comedy,4.1,360,"1,146,553",2022, ,Arabic,
Final Summer,Horror,3.5,149, ,2023, , ,
Brian and Charles,"Comedy, Drama, Sci-Fi",6.7,7491,"860,85",2022, ,English,
Toscana,"Drama, Romance",5.7,9122, ,2022, ,Danish,
Sundown,Drama,6.6,5969,"991,837",2021, ,"English, Spanish",
Back on the Strip,Comedy,4.7,159,"33,669",2023, ,English,
Bullets,"Crime, Drama, Thriller",6.8,160, ,2023,655200,Swedish,
American Murderer,"Biography, Crime, Drama",5.2,1916, ,2022, ,English,
My Fake Boyfriend,"Comedy, Romance",5.2,2682, ,2022, ,English,
The Man with the Answers,"Drama, Romance",6.8,3634, ,2021, ,English,
Private Property,"Drama, Horror, Thriller",4.2,1571,"22,149",2022, ,English,
Bergman Island,"Comedy, Drama, Romance",6.7,9050,"1,005,843",2021,6300000,"English, Swedish, French",
Fistful of Vengeance,"Action, Crime, Drama",4.4,7342, ,2022, ,English,
Jagged Mind,"Horror, Thriller",4.4,742, ,2023, ,English,
Detective Knight: Rogue,"Action, Thriller",3.8,1760,"95,244",2022, ,English,
Black Warrant,"Action, Thriller",4.7,570,"9,085",2022, ,English,
I Used to Be Funny,"Comedy, Drama",7.4,71, ,2023, ,English,
Riddle of Fire,"Action, Adventure, Comedy",7.4,106, ,2023, , ,
The Free Fall,"Drama, Horror, Mystery",4.6,1359,"33,311",2021, ,English,
The Swearing Jar,"Drama, Musical, Romance",6.2,620, ,2022, ,English,
The Stratum,Sci-Fi,4.1,585, ,2023,50,English,
The Haunting of Julia Fields,Horror,4.8,91, ,2023, ,English,
Saint Omer,Drama,6.8,3953,"836,817",2022, ,"French, Wolof, Italian",
Rescued by Ruby,"Biography, Drama, Family",7.2,10079, ,2022, ,English,
The Seed,"Comedy, Horror, Sci-Fi",4.8,1991, ,2021,"4,000,000",English,
Fisherman's Friends: One and All,"Comedy, Drama, Music",6.4,1753,"4,788,511",2022, ,English,
The Slumber Party,"Comedy, Family",5.7,353, ,2023, ,English,
Head to Head,"Comedy, Thriller",6.1,2388, ,2023, ,Arabic,
Black Box,"Drama, Mystery, Thriller",7.2,13027,"9,738,741",2021, ,"French, English",
Are You,"Comedy, Romance",5.7,2567, ,2023, ,Spanish,
They Shot the Piano Player,"Animation, Drama",6.2,87, ,2023, ,English,
Circus Maximus,Music,6.3,539, ,2023, ,English,
The System,"Action, Crime",4.2,1206,"115,85",2022, ,English,
Spirit Untamed,"Animation, Adventure, Comedy",5.5,4415,"42,717,215",2021,"30,000,000",English,
How She Caught a Killer,"Crime, Mystery, Thriller",5.7,134, ,2023, ,English,
Bedurulanka 2012,"Action, Comedy, Drama",7,1686,"11,172",2023, ,Telugu,
Juniper,"Comedy, Drama",6.3,101, ,2022, ,English,
Anaïs in Love,"Comedy, Drama, Romance",6.4,1681,"491,554",2021,3150000,"French, English, Korean",
More Than Ever,"Drama, Romance",6.8,1152,"393,176",2022,5250000,"French, English, Norwegian",
Creatura,Drama,7,243,"175,781",2023, ,Catalan,
Butter,"Comedy, Drama, Romance",5.8,648,"114,036",2022, ,English,
Mascarade,"Crime, Drama",6.5,2667,"6,668,140",2022,15571500,"French, English, Italian",
Jones Plantation,Drama,6.2,292, ,2023,300,English,
The Pirates: The Last Royal Treasure,"Action, Adventure, Comedy",6.1,4418,"10,258,331",2022,17390000,"Korean, Japanese",
'83,"Biography, Drama, History",7.5,39782,"7,351,061",2021, ,"Hindi, English",
Murder City,"Crime, Thriller",5.7,104, ,2023, ,English,
Fortress: Sniper's Eye,"Action, Thriller",2.9,1273,"69,075",2022,"22,000,000","English, Russian",
The Big 4,"Action, Comedy, Crime",6.1,3255, ,2022, ,Indonesian,
Kill Her Goats,Horror,2.9,573, ,2023, ,English,
Mayday,"Drama, Fantasy, Mystery",4.4,1798,"2,363,134",2021, ,English,
Eraser: Reborn,"Action, Crime, Thriller",4.6,2166, ,2022, ,English,
Runway 34,"Drama, Thriller",7,29686,"4,062,826",2022,16800000,Hindi,
The Twin,"Drama, Horror, Mystery",5.1,3863,"1,630,479",2022, ,English,
Ugram,"Action, Drama, Romance",7,3500,"17,303",2023, ,Telugu,
Astonishing Tales of Terror: Rocktapussy!,"Comedy, Fantasy, Horror",4.4,271, ,2022, ,English,
Best Sellers,"Comedy, Drama",6.2,5700,"336,174",2021, ,English,
Spede,"Biography, Drama",5.8,96, ,2023,2100000,Finnish,
