Movie Name,Movie Genre,Movie Rating,Movie Votes,Movie Revenue,Movie Year Cleaned,Movie Budget Cleaned,Movie Languages,
Strays,"Adventure, Comedy",6.3,15523,"35,355,130",2023, ,English,
My Big Fat Greek Wedding 3,"Comedy, Drama, Romance",5.3,4013,"37,033,637",2023, ,English,
The Killer,"Action, Adventure, Crime",7.4,921, ,2023,"175,000,000",English,
Infinite,"Action, Sci-Fi, Thriller",5.5,57582, ,2021, ,English,
Heist 88.,"Crime, Drama",5.3,544, ,2023, ,English,
You Are So Not Invited to My Bat Mitzvah,Comedy,6,19924, ,2023, ,English,
Scream VI,"Horror, Mystery, Thriller",6.5,103996,"168,961,389",2023,"35,000,000",English,
The Machine,"Action, Comedy",5.8,11786,"10,664,328",2023,"20,000,000",English,
Babylon,"Comedy, Drama, History",7.1,148254,"63,363,579",2022,"110,000,000","English, Spanish, Italian, Cantonese, French, Hungarian",
Foe,"Drama, Sci-Fi, Thriller",5.4,225, ,2023, ,English,
The Super Mario Bros. Movie,"Animation, Adventure, Comedy",7.1,196913,"1,362,006,290",2023,"100,000,000",English,
The Last Voyage of the Demeter,"Fantasy, Horror",6.1,30176,"21,694,915",2023,"45,000,000",English,
The Royal Hotel,Thriller,6.8,492,"331,011",2023, ,English,
Cocaine Bear,"Comedy, Thriller",5.9,93421,"87,788,301",2023,"35,000,000",English,
Don't Worry Darling,"Drama, Mystery, Thriller",6.3,131187,"87,609,403",2022,"20,000,000",English,
The Menu,"Comedy, Horror, Thriller",7.2,354369,"79,628,200",2022,"35,000,000","English, Spanish",
V/H/S/85,"Horror, Thriller",5.8,1995, ,2023, ,English,
Pearl,"Drama, Horror, Thriller",7,73382,"9,747,742",2022, ,"English, German",
The Bikeriders,"Crime, Drama",7.9,766, ,2023, ,English,
Everything Everywhere All at Once,"Action, Adventure, Comedy",7.8,482523,"141,129,020",2022,"14,300,000","English, Mandarin, Cantonese",
Death on the Nile,"Crime, Drama, Mystery",6.3,172658,"137,307,235",2022,"90,000,000","English, French, German",
The Many Saints of Newark,"Crime, Drama",6.3,60290,"13,037,403",2021,"50,000,000","English, Italian, Latin",
Scream,"Horror, Mystery, Thriller",6.3,147475,"137,743,924",2022,"24,000,000",English,
Saltburn,"Comedy, Drama, Thriller",7.2,456, ,2023, ,English,
Transformers: Rise of the Beasts,"Action, Adventure, Sci-Fi",6.1,83523,"438,966,392",2023,"200,000,000","English, Spanish",
Theater Camp,Comedy,7.1,8703,"4,215,783",2023, ,English,
Avatar: The Way of Water,"Action, Adventure, Fantasy",7.6,462842,"2,320,250,281",2022,"350,000,000",English,
Spiral,"Crime, Horror, Mystery",5.2,62572,"40,618,920",2021,"20,000,000",English,
The Kill Room,"Comedy, Thriller",5.5,814,"617,143",2023, ,English,
A Man Called Otto,"Comedy, Drama",7.5,134622,"113,117,059",2022,"50,000,000","English, Spanish",
Cobweb,"Horror, Thriller",5.9,17598,"7,355,867",2023, ,English,
Retribution,"Action, Crime, Drama",5.3,10020,"16,206,850",2023, ,"English, German",
The Retirement Plan,"Action, Comedy, Crime",5.1,2239,"6,378",2023, ,English,
Top Gun: Maverick,"Action, Drama",8.3,634088,"1,495,696,292",2022,"170,000,000",English,
She Came to Me,"Comedy, Drama, Romance",6.3,428,360,2023, ,English,
Barbarian,"Horror, Mystery, Thriller",7,161913,"45,352,337",2022,"4,500,000",English,
Accused,Thriller,6.5,1663, ,2023, ,English,
Those Who Wish Me Dead,"Action, Drama, Thriller",6,68129,"19,107,200",2021, ,English,
Fingernails,"Drama, Romance, Sci-Fi",6.7,202, ,2023, ,English,
Concrete Utopia,"Action, Adventure, Drama",7,1432,"28,859,372",2023,"18,000,000",Korean,
Golda,"Biography, Drama, History",5.9,5241,"5,257,401",2023, ,"English, Hebrew, Arabic",
The Pope's Exorcist,"Horror, Thriller",6.1,66370,"76,664,075",2023,"18,000,000","English, Italian, Spanish, Latin, German",
Spy Kids: Armageddon,"Action, Comedy, Family",4.3,2203, ,2023, ,English,
My Fault,"Drama, Romance",6.2,18463, ,2023, ,Spanish,
"Red, White & Royal Blue","Comedy, Romance",7,38934, ,2023, ,English,
Bullet Train,"Action, Comedy, Thriller",7.3,388299,"239,268,602",2022,"85,900,000","English, Japanese, Spanish, Russian",
Dream Scenario,Comedy,7.5,626, ,2023, ,English,
Last Night in Soho,"Drama, Horror, Mystery",7,162672,"22,957,625",2021,"43,000,000",English,
Beau Is Afraid,"Comedy, Drama, Horror",6.8,42882,"11,480,078",2023,"35,000,000",English,
Cruella,"Adventure, Comedy, Crime",7.3,253206,"233,503,234",2021,"100,000,000","English, French",
